id,recall_rec_id,yr,t_step,flo,sed,ptl_n,ptl_p,no3_n,sol_p,chla,nh3_n,no2_n,cbn_bod,oxy,sand,silt,clay,sm_agg,lg_agg,gravel,tmp
47,47,0,0,4.3,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,0,0,573.616,0.0,0.129968574252048,4.3266090168,0.0,0.0,0.0,4.20231723414955,0.0,2.96266165333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,0,0,3481.412,0.0,1.30759502444417,4.4929959585,28.7670905377717,0.0,0.0,13.5118152525897,0.0,27.33455088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,0,0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,0,0,2.05479452054795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,0,0,7.87506849315069,0.0,0.0,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,0,0,0.402739726027397,0.0,0.0,4.02739726027397,0.0,0.0,0.0,0.0,0.0,24.1643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,0,0,22.5,0.0,0.0,180.0,0.0,0.0,0.0,337.5,0.0,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,0,0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,289.5,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
