activitat_,nom_abocam,Punt2
"GERMANS MONTSANT, SC (RESTAURANT BELL-LLOC)","GERMANS MONTSAN, SC (SORTIDA TRACTAMENT)",359
"NANTA, SA","NANTA, SA, (SORTIDA DEPURADORA) -  Torrent d'Ortigons",19
"CENTRE DE RECERCA I VALORACIÓ AVANÇADA DE BARBERÀ, SL","Abocament ACABATS BARBERA, SL - riu Ripoll",291
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SORTIDA 12, PK 124,8 (SORTIDA DEPURADORA)",320
"VINS FONT, SA",VINS FONT_TORRENT DE LES PINATELLES,56
EDAR EL PRAT DE LLOBREGAT,ASSUT DE MOLINS - ABOCAMENT DE L'EDAR DEL PRAT PER A MANTENIMENT DEL CABAL DEL LLOBREGAT,104
AJUNTAMENT D'AVINYONET DEL PENEDÈS,AJUNTAMENT D'AVINYONET DEL PENEDÈS (EDAR AVINYONET DEL PENEDÈS) (SORTIDA EDAR),92
"CUINATS JOTRI, SL","CUINATS JOTRI,SL  (JUIÀ) ( SORTIDA DEPURADORA EMPRESA)",404
EDAR POLÍGON INDUSTRIAL LA TEULERIA  (SORA),EDAR POLÍGON INDUSTRIAL LA TEULERIA (SORTIDA AIGUA TRACTADA),483
AJUNTAMENT DE RIBES DE FRESER - BARRI SERRAT ROIG,AJUNTAMENT DE RIBES DE FRESER - BARRI DEL SERRAT ROIG,492
"CÁRNICA BATALLÉ, SA","ABOC.2 - CÁRNICA BATALLÉ, SA",374
"GESTORA DE RUNES DEL TARRAGONÉS, SL",GESTORA DE RUNES DEL TARRAGONÈS( TORRENT),
"VALL DE SANTA MAGDALENA, SA","VALL DE SANTA MAGDALENA, SA (SORTIDA DEPURADORA)",524
ASSOCIACIÓ RECREATIVA DE CARAVANISTES DE BARCELONA,AA2002001654_x000D_,133
