activitat_,nom_abocam,Punt2
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIPÒSIT CONTROLAT-,ABOCAMENT CONSORCI PER A LA GESTIÓ DELS RESIDUS URBANS D'OSONA,482
"AUTEMA, SA",AUTEMA SA (SORTIDA TRACTAMENT DE LES CABINES DE PEATGE DE SORTIDA DE CASTELLBELL I EL VILAR),196
ATRA ASSOCIACIÓ,ATRA ASSOCIACIÓ (SORTIDA DEPURADORA),603
"SOLÀ SABORIT, SL","SOLÀ SABORIT, SL",469
AGÈNCIA CATALANA DE LA JOVENTUT (ALBERG JUV. MAS SILVESTRE),022000000204 CANYAMARS,328
"HERCA, SCCL","HERCA, SCCL (SORTIDA TRACTAMENT)",201
"LA LLUNA DE CAN CASTELLAR, SL",LLAR D'INFANTS LA GRANOTA (SORTIDA DEPURADORA) - Riera de Vallgorguina,333
"CAMPING DE GOSOL, S.A.",CAMPING GOSOL,241
EDAR CAN TORRES,MANCOMUNITAT PENEDÈS-GARRAF EDAR DE CAN TORRRES: TORRENT DE LA FONTALLADA,84
"OLIVERES I VINYES DE L'EMPORDÀ,S.L","OLIVERES I VINYES DE L'EMPORDÀ, S.L (SORTIDA DEPURADORA)",512
"JOSE FUSTE, SA",JOSÉ FUSTÉ SA (SORTIDA SANITÀRIES),301
"TORRASPAPEL, SA -CENTRE LTC-","TORRASPAPEL,SA- IACC: abocament 1: riera de Can Guilana",415
"CABRERA NAVARRO, PERE",PERE CABRERA NAVARRO (SORTIDA FOSSA FILTRE),392
"BERENGUERA VIDAL, JOAN",JOAN BERENGUERA VIDAL (SORTIDA TRACTAMENT),124
SUBESTACIÓ BEGUES,022000000277 - AB 1,91
"TECASA, TABIQUES, SL",Teuleria Catalana-abocament,598
"DENSO BARCELONA, SA","DENSO BARCELONA, S.A._Torrent Bo",244
JOAN GIRONES CAMPS,RIERA DE RIUDEVILA (JOAN GIRONES CAMPS),424
"GOLF DEL OLLER, SL","GOLF DEL OLLER, S.L - AB 1",207
"ESCORXADOR VILA DE L'ARMENTERA, SL","RIU FLUVIÀ - ESCORXADOR VILA DE L'ARMENTERA, SL 0220000000205",577
"CELLER PARDAS, SL",ABOCAMENT RAMON PARERA PARDAS (SANITÀRIES),146
AJUNTAMENT DE SANT GREGORI - EDAR VEÏNAT DE LES CASES NOVES,EDAR VEÏNAT DE LES CASES NOVES (SORTIDA AIGÜES DEPURADORA),439
"FONTAGA, SA",FONTAGA SA (CONTRARRETATS DELS FILTRES DE SORRA),492
"INNODUCKY, SL","INNODUCKY, SL (SORTIDA DEPURADORA EMPRESA)",420
"SERRA BAYÈS, JOSEP",JOSEP SERRA BAYÈS (sortida depuradora) - LA TORRENTERA,458
"CONILL SEGARRA, JAUME",JAUME CONILL SEGARRA,266
AJUNTAMENT DE VILA-RODONA,"Riu Gaia AA2004002650 PRONOBAC, SL",57
"SANMY, SA","SANMY, S.A. (SORTIDA DEPURADORA)",123
"BON PREU, SAU (BALENYÀ)",022001000150 - AB 1,315
EASTMAN CHEMICAL BARCELONA SL,INDUSTRIAS DEL ACETATO DE CELULOSA,346
"CAHORS ESPAÑOLA, SA","CAHORS ESPAÑOLA, SA (SORTIDA DEPURADORA)",511
AMPANS,AMPANS (DEPURADORA TORRE DEL GRAN),204
"CAMPSA ESTACIONES DE SERVICIO, SA","REPSOL DIRECTO, SA  (SORTIDA SEPARADOR D'HIDROCARBURS)",6
"TRANSPORTES CALSINA CARRE, SL",021999005147-la Muga,522
DERMOT WILLIAM BRETT,MAS CARRERES (SORTIDA DEPURADORA),419
"CAPATEST, SL","CAPATEST, SL: ABOCAMENT A LLERA; TORRENT BO",244
"PEDRACAMP, SL","PEDRACAMP, S.L. (SORTIDA DEPURACIÓ)",590
"INFRAESTRUCTURES VIÀRIES DE CATALUNYA, SA","INFRAESTRUCTURES VIÀRIES DE CATALUNYA, SA (PEATGE DE PREMIÀ): TORRENT INNOMINAT",
"TAMOIL ESPAÑA, SA","OILINVEST, S.A: SORTIDA DEPURADORA",215
"HERMANOS PRATGINESTOS, SA","Abocament HERMANOS PRATGINESTOS,S.A.-torrent de les Freixes",244
"FERIMET, SLU",HIERROS Y DESGUACES SA (SORTIDA SEPARADOR HIDROCARBURS),20
"SUREDA NOGUÉ, JOSEP (GARATGE SUREDA)",Abocament JOSEP SUREDA NOGUE (GARATGE SUREDA) - torrent d'Esplet,374
EDAR SABADELL/RIU RIPOLL,AIGÜES INTERIORS RIU RIPOLL,291
"PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -AQUADIVER-",AQUADIVER  (AIGUA RENTAT FILTRES I BUIDAT TOBOGANS ZONA LLAC),
"GRANJA ESCOLA EL XALOC, SL","GRANJA ESCOLA EL XALOC, SL: ABOCAMENT A LA RIERA DE CALDERS",248
"RESTAURANT LA MOLA, SL","RESTAURANT LA MOLA, S.L   (Sortida depuradora)",262
"CODORNIU, SA",CODORNIU SA (PUNT 1_SORTIDA TRACTAMENT),143
BASE GENERAL ALVAREZ DE CASTRO,BASE GENERAL ALVAREZ DE CASTRO (SORTIDA DEPURADORA),518
"LIQUATS VEGETALS, SA","RIERA MAJOR, EDAR LIQUATS VEGETALS",460
FUNDACIÓ AMPANS,AMPANS (SORTIDA DEPURADORA),200
"LA GRAMANOSA, SL","RIERA DELS GORGS (GERMINA VITI, SL)",138
"TORRASPAPEL, SA","TORRASPAPEL, SA ""S. JOAN LES FONTS"" (SORTIDA AIGÜES RESIDUALS DEPURADORA)",617
"DEFIBER, SA","TORRENT DEL LLUC (DEFIBER, SA)",66
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -SANT JULIÀ DE RAMIS (SORTIDA TRACTAMENT)",414
"CÀMPING BEGUR, SL","CÀMPING BEGUR, SL (SORTIDA DEPURADORA)",
"AFRUSE, SL","AFRUSE, SL",17
"DEP.TREBALL, AFERS SOCIALS I FAMÍLIES (RESIDÈNCIA DE GENT GRAN DE TERRASSA)",021999005068 - AB 1,124
FUND. EDU. TIEMPO LIBRE Y ACC. SOCIAL PERE TARRÉS,FUND. EDU. TIEMPO LIBRE Y ACC. SOCIAL PERE TARRÉS (SORTIDA TRACTAMENT),495
EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT),EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT) - ABOCAMENT RIU LLOBREGAT-,94
DEPARTAMENT DE BENESTAR I FAMILIA - CENTRE EDUCATIU ELS CASTANYERS,DEPT. BENESTAR I FAMILIA - C. E. ELS CASTANYERS ( SORTIDA DEPURADORA) - llera innominada,303
"GRUES FONT GARATGE, SL",GRUES FONT GARATGE (Decantador + filtre coalescent),
ESTACIÓN DE SERVICIO LA BISBAL DEL PENEDÈS (34.409) (CAMPSA),AA2002002018,63
"FLEXIPLAS, S.A.","FLEXIPLAS, S.A (SORTIDA DEPURADORA)",172
AJUNTAMENT DE LES PRESES - PISCINA MUNICIPAL,AJUNTAMENT DE LES PRESES - PISCINA MUNICIPAL,533
"CONTROL Y MONTAJES INDUSTRIALES CYMI, SA",AA2003002514 INFILTRACIÓ AL TERRENY,31
"GRANJA PORTA, SCP",GRANJA PORTA SCP (SORTIDA DEPURADORA),244
"LA SELVA, SL","E.S.ELS ESTANYS, SL - ABOCAMENT A LA SÈQUIA DE SILS",366
"PAPELERA RIUDEVITLLES, SA",PAPELERA RIUDEVITLLES (SORTIDA REBUIG D'OSMOSI),140
"SISMANDELFOS, SL","SISMANDELFOS, S.L. (AIGÜES SANITÀRIES)",372
"AKZO NOBEL INDUSTRIAL PAINTS, SL","AKZO NOBEL INDUSTRIAL PAINTS, SL (SORTIDA SANITÀRIES + REFRIGERACIÓ)",88
CONSELL COMARCAL ALT EMPORDÀ (DEIXALLERIA),DEIXALLERIA MUNICIPAL PEDRET I MARZÀ (SORTIDA DEPURADORA),514
"SOLO PALETS, SL",SOLO PALETS SL (0502080144),171
ACONDICIONAMIENTO TARRASENSE (LEITAT),ACONDICIONAMIENTO TARRASENSE-CENTRE TECNOLOGIC LEITAT (SORTIDA EDAR),117
EDAR EL PRAT DE LLOBREGAT,ZONES HUMIDES DELTA DEL LLOBREGAT - ABOCAMENT D'AIGUA DE L'EDAR DEL PRAT,96
"AIGUA DEL MONTSENY, SA - MANANTIAL AIGUANEU -","AGUA DEL MONTSENY, SA  -MANANTIAL AIGUANEU-  (SORTIDA PRETRACTAMENT)",459
"RODELLAS-SORTS, S.L","RODELLAS-SORTS, S.L - Rec de la Tria",258
"REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, SA (EE/S 15.180)","REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, SA (LLERA)",332
"CERÁMICA SUGRAÑES, SA (ROSA GRES)","ABOCAMENT CERAMICA SUGRAÑES, SA: 021998000223",128
AJUNTAMENT DE TORDERA - VEÏNAT DE ST. DANIEL,"VEÏNAT DE SAT DANIEL (AJUNTAMENT DE TORDERA) - RIERA DE SANT DANIEL, RIU TORDERA",330
"TEXTIL OLIUS, SA (T.O.S.A.)",TEXTIL OLIUS_RIU NEGRE,233
"FOREST CAPDEVILA, MARTÍ  -CASA DE COLÒNIES LA MINA-",MARTÍ FOREST CAPDEVILA (SORTIDA DEPURADORA),446
"ALCOVER QUÍMICA, SL","Abocament 1 ALCOVER QUÍMICA, SL - Barranc de la Font Major",37
"ASEA BROWN BOVERI, SA","Abocament ABB AUTOMATION PRODUCTS, SA (021996000236)",126
AEROPUERTO DE BARCELONA - EL PRAT,AEROPUERTO DE BARCELONA - EL PRAT (RAMPA 32),
"JUNCOSA GARZA, JORDI",JORDI JUNCOSA GARZA (SORTIDA DEPURADORA),51
"INDUSTRIAL BREINCO, SA",INDUSTRIAL BREINCO (SORTIDA DEPURADORA),326
"CEMEX ESPAÑA OPERACIONES, SLU",021996000192 - AB 1,
"CASA DARNÉS, SA","CASA DARNES, SA (ABOCAMENT 1. SANITÀRIES. SORTIDA FOSSA-FILTRE)",
FUNDACIO PRIVADA MAP,FUNDACIÓ PRIVADA MAP - TORRENT CORBERA,495
CEMENTOS PORTLAND VALDERRIVAS SA,UNILAND CEMENTERA SA (4) (SORTIDA PLUVIALS),71
"PUIG POCH, ÀNGEL",ANGEL PUIG POCH (llera),442
"ENDESA GENERACIÓN, SA  -C.H. SUSQUEDA-",ENDESA GENERACION (CH SUSQUEDA) - riu Ter,452
"JOAQUÍM ALBERTÍ, SA","JOAQUIM ALBERTI, SA (SORTIDA BIOLÒGIC)",434
"SOCIETAT CATALANA DE PETROLIS, SA  -E.S. BELLCAIRE D'EMPORDÀ-",ESTACIÓ DE SERVEI BELLCAIRE D'EMPORDÀ: Sortida tractament,
CASA DE COLONIES CAL DIABLE,"NATURAL DE MENA, SL  (SORTIDA PRETRACTAMENT)",80
"APLICA, SL","APLICA, SL: BARRANC PI DE BRUGAR",17
"CAMPING LLUÇANES, S.A.",CAMPING LLUÇANÉS (ABOC TORRENT DE BARTRONS),258
"HOLCIM (ESPAÑA), SA","HOLCIM HORMIGONES, SA",118
FUNDACIO CATALANA DE L'ESPLAI,022001000119 - AB 1,230
CAA GAL GANXO,CAA CAL GANXO (SORTIDA DEPURADORA),
"MEROIL, SA","MEROIL, SA - RIU FRANCOLÍ",
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT PASSATGE FONT RICA 14),285
"HIDRODATA, SA - CH BAGA","HIDRODATA, SA  C.H. PENDIS   (SORTIDA DEPURADORA)",282
"SEGURA VIUDAS, SA","Abocament SEGURA VIUDAS, SA - Riera de Riudebitlles",145
"TRETY, SA","AA2003000393 - TRETY, SA",373
"ELIS MANOMATIC, SA","ELIS MANOMATIC (SORTIDA DEPURADORA, SANITÀRIES I NETEJA)",122
"FORMIGONS LA VALL D'EN BAS, SLU",FORMIGONS LA VALL D'EN BAS SLU (SORTIDA DEPURADORA),597
"PARETA PONSATI, MARTA","PARETA PONSATI, MARTA  (SORTIDA DEPURADORA)",371
"CERVERA AGÜERA, ALBERTO",ALBERTO CERVERA AGÜERA,
JUAN MIQUEL PADIAL FERNANDEZ,RIU ANOIA ( JUAN MIGUEL PADIAL FERNANDEZ),171
"SPAN DECK CATALANA, SA",SPAN DECK CATALANA SA (sortida depuradora)- Torrent del mal,185
"ROBERT BOSCH ESPAÑA FABRICA CASTELLET, SA",Abocament ROBERT BOSCH ESPANYA FAB CASTELLET SA- Riera del Gat Gros,69
"VIÑA TORREBLANCA, SL",AA2003002666 RIERA DE CAL FERRENY,84
CONSORCI PER A LA CONSTR. EQUIP I EXPLO. DE LAB.,CONSORCI PER A LA CONSTR. EQUIP I EXPLO. DE LAB. (llera),287
ATL - ENS D'ABASTAMENT D'AIGUA TER-LLOBREGAT (ETAP LLOSA DEL CAVALL),ATL - ENS D'ABASTAMENT D'AIGUA TER-LLOBREGAT: LLOSA DEL CAVALL,237
"COLOMER LLACH, PERE",Abocament PERE COLOMER LLACH - torrent de Verinal,472
"GENERAL GALVÀNICA GIRONINA, SL","GENERAL GALVÀNICA GIRONINA, SL  (SORTIDA DEPURADORA EMPRESA)",414
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH,Abocament DEPURADORA JUNTA COMPENSACION PLAN PARCIAL MASIA BACH Torrent del Llop,171
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR -SORTIDA SANITÀRIES OFICINES- (SORTIDA TRACTAMENT),160
"ROCA SANITARIO, SA",ABOCAMENT COMPANYIA ROCA RADIADORES,95
"HOTEL-RESTAURANT SAUSA, SL","HOTEL RESTAURANT SAUSA, S.L (SORTIDA DEPURADORA BIOLÒGICA)",401
EDAR JUIÀ,AJUNTAMENT DE JUIÀ: NUCLI MAS NADAL I JUIÀ. TORRENT VALLBOC,404
"ROQUET BAUCELLS, JORDI",JORDI ROQUET BAUCELLS (sortida depuradora) - Rasa del Pla,315
"CARRERAS GRUPO LOGÍSTICO, SA","CARRERAS GRUPO LOGÍSTICO, SA: TORRENT DEL BAGANT",132
"SOLÉ BATET, JAUME","TORRENT DE RAMUSA (MASIA ""LA FIGUERA"")",
"SAVASUN, S.A","SAVASUN, SA ( COMPLEX NÚM. 1)",2
"PAPELERA DE SARRIA, SL","PAPELERA DE SARRIA, SL (SORTIDA AIGÜES RESIDUALS DEPURADORA)",415
"PETRONIEVES, SL","PETRONIEVES, SL",172
"VILADASES, SL - CAMPING GIRONELLA",CÀMPING GIRONELLA: RIERA DE CLARÀ,588
"COLÒNIES ROSA DELS VENTS, SA (MAS BADÓ)","COLONIES RV, SA: MAS BADÓ (LLERA)",311
"SA, LLENSA",Abocament Llensa (021999000223) RIERA DE SALSÀ,371
"REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, SA",REPSOL SA - ESTACIÓ DE SERVEI 12188 FONTFREDA (SORTIDA DEPURADORA),314
"RECYCLE CAR, SL","RECYCLE CAR, SA: PLUVIALS A LA LLERA DEL TORRENT DE SANT CUGAT / RIERA DE STA. Mª DELS HORTS",85
"AREAS, SA - E.S. VALLES (DIRECCIO GIRONA)",ESTACIÓ DE SERVEI VALLÈS (ÀREAS DIRECCIO GIRONA). RIERA DE POLINYÀ,298
ENS D'ABSTAMENT D'AIGUA TER LLOBREGAT (PLANTA TRACTAMENT DE CARDEDEU),RIU MOGENT- ETAP DEL TER (CARDEDEU),319
AJUNTAMENT D'HOSTALETS DE PIEROLA,AJUNTAMENT D'HOSTALETS DE PIEROLA_POLÍGON INDUSTRIAL MAS D'EN PI (SORTIDA DEPURADORA),185
"YLLA 1878, SL","YLLA 1878, S.L. (SORTIDA FOSSA SÈPTICA - SANITÀRIES)",466
"PROJECTES SIGA, SL","PROJECTES SIGA, SL (LLERA)",82
"FÀBREGA BONADONA, SL","Abocament FÀBREGA BONADONA, SL - riera de Merdançà (infiltració)",565
MARISTAS HERMANOS PROVINCIA L'HERMITAGE -ALBERG LA FARGA-,GERMANS MARISTES DE CATALUNYA (SORTIDA DEPURADORA),497
EDAR EL LLEDONER (VALLIRANA),ABOC EDAR LLEDONER,93
"CENTRE VINICOLA DEL PENEDES, SCCL",CELLERS DE L'ARBOÇ I SECCIÓ DE CRÈDIT S.C.CL. (SORTIDA SANITÀRIES I NETEJA),65
"CABRERA NAVARRO, PERE",PERE CABRERA NAVARRO (SORTIDA DECANTADOR),392
"AMAT-3, SA","TORRENT CUBILET (AMAT-3, SA)",172
INCASOL,POLÍGON INDUSTRIAL RIERA DE CASTELLOLÍ - INCASÒL (SORTIDA DEPURADORA),159
"PIROTECNIA IGUAL, SA","Abocament PIROTECNIA IGUAL, SA -",83
"SYNTHESAR, S.A.","SYNTHESAR, S.A. (ABOCAMENT TORRENT CAN PAU PERE)",171
"RA HOTELS, SA - LE MÉRIDIEN RA BEACH HOTEL & SPA",ABOCAMENT RICOL S.A. - BROLLADOR COMA-RUGA,
CEDIPSA (E.S.BELLATERRA I-II),ES BELLATERRA I (SORTIDA TRACTAMENT),287
CLUB CARAVANING AQUA ALBA,ABOC.3A FASE: CLUB CARAVANING AQUA ALBA,346
"CITRICOS Y REFRESCANTES, SA",ABOC.CITRICOS Y REFRESCANTES (SORTIDA DEPURADORA),361
"PINTURAS ROYBLAN, SL",PINTURAS ROYBLAN_ Abocament procés,35
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PEATGE ORRIOLS/L'ESCALA)",573
FUNDACIÓ MERCE FONTANILLES - CENTRE ACOLLIDA ESTREP,Abocament FUNDACIO MERCE FONTANILLES - torrent innominat,202
"ENERGY EXPRESS, SL","ENERGY EXPRESS, SL: TORRENT DE LA BETZUCA",124
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH,Afluent de Can Sitges CLUB DE GOLF MASIA BACH 022000000281,171
"ENDESA DISTRIBUCIÓN, SL - SE CONGOST","ENDESA DISTRIBUCIÓN, S.L (fossa sèptica)",213
"EL CLOS DE CAN ROQUET, SL","EL CLOS DE CAN ROQUET, S.L (sortida depuradora)",363
AJUNTAMENT DE SANT POL DE MAR (CARRER BON REPÒS),AJUNTAMENT DE SANT POL DE MAR - CARRER BON REPÒS: RIAL DE CAN SEGARRES (RIERA DELS OMS) I MAR,
"FIBRAN, SA   -FAB. PECES DE PLÀSTIC-","CANAL RIU TER (FIBRAN, SA)",500
"ACIN COSTA BRAVA, SL","JEGRECIKLA, SL",353
BASTOS & TORVAL S.L.,BASTOS & TORVAL  (SORTIDA TRACTAMENT),247
"NETEGES I TRITURATS FORESTALS LLENS, SL","NETEGES I TRITURATS FORESTALS LLENS, SL (SORTIDA PLUVIALS BRUTES)",306
"CIA.ESPAÑOLA DISTRIBUIDORA PETROLEOS, SA -E.S. 34.195-",CEDIPSA (SORTIDA AIGÜES SANITÀRIES+PLUVIALS),
"VIDAL ROQUET, JAUME -CÀMPING MOLÍ DE BOJONS-","MOLÍ DE BOJONS, SCP (sortida depuradora) - riera Major",462
"SAULEDA, SA","021996000280-SAULEDA,SA",256
ROSA BONADA PARES,ROSA BONADA PARES (sortida depuradora)- Bassa de Can Duc,420
"VICO AGUILAR, FRANCISCO",Riera de Gualba,344
AJUNTAMENT DE LA VALL DE BIANYA (CASAL JOVES),AJUNTAMENT DE LA VALL DE BIANYA: RIERA DE SANTA LLÚCIA,540
ASSOCIACIÓ PARCS D'ESTUDI I REFLEXIO DE CATALUNYA,ASSOCIACIÓ PARCS D'ESTUDI I REFLEXIÓ DE CATALUNYA,163
CONSORCI CONDIC. I GESTIO COMPLEX TRACT. RESIDUS DE SOLIUS,ABOCAMENT PLUVIALS SEMINETES DIPÒSIT CONTROLAT SOLIUS,379
"TRANSPORTES PRUJÀ, SA","Abocament Transports Prujà, SA. RIU FLUVIÀ",557
ESPECIALIDADES ELECTRICAS ESCUBEDO SAU,ESPECIALIDADES ELÈCTRICAS ESCUBEDO S.A (Tractament fisico-químic + fossa sèptica),414
"FORMATGES CAN PUJOL, SL","ABOCAMENT FORMATGES CAN PUJOL, SL",316
"RESIDUOS ALTERNATIVOS DE CATALUÑA, SL","RESIDUOS ALTERNATIVOS DE CATALUÑA, SL",186
"LAFARGEHOLCIM ESPAÑA SAU ""LA CUEVAS""","LAFARGE ÁRIDOS Y HORMIGONES, SAU(SORTIDA RESIDUALS NETEJES A RIERA BARRANC DE LES COVES)",
"ESTACIÓ DE SERVEI ALT CAMP, I Y II ( CEDIPSA)",Abocament: ESTACIÓ DE SERVEI ALT CAMP I i II - Riera Esparadelles,54
COMUNITAT PROPIETARIS VINYES DEL TURÓ,COMUNITAT DE PROPIETARIS VINYES DEL TURÓ (ABOCAMENT LLERA),171
"PROMOCIONS GERISENA, S.A.",PROMOCIONS GERISENA SA (SORTIDA DEPURADORA),516
"FRESH WATER NATURE, SL","FRESH WATER NATURE, SL - ITAM LLOBREGAT",
"BARDINET, SA",BARDINET (SORTIDA RESIDUALS),129
"CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET)",EESS CAMPSA NÚM. 96282 ESQUERRE (SANTA AGNÈS): RIU MOGENT,610
"NAVARRO PEREZ, ANGEL",ANGEL NAVARRO PEREZ,466
"JOSEP MASACHS, SL","Abocament JOSEP MASACHS, SA-Riera Can Mirell (Riu Foix)",77
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 2 URBANITZACIO FINCA OASIS - riera de Sant Jaume,174
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI E (SORTIDA TRACTAMENT),121
"TRANSFORMAD, SA",021996000224 torrent innominat afluent del Tenes,307
"CA LA ROTLLADA, SL","CA LA ROTLLADA, SL",457
"MANIPULADOS LORMA, SL",Manipulados Lorma_Torrent de la Rànima,583
"CALES DE LLIERCA, SA","CALES DE LLIERCA, SA (SOBREEIXIDOR D'AIGÜES DE LA DEPURADORA FÍSICOQUÍMICA, ABOCAMENT PUNTUAL)",546
"BUTANO MARTORELL, SA","BUTANO MARTORELL, SA",121
"DIDAC SYSTEMS, SL.","Abocament de DIDAC SYSTEMS, SL (02200100044)",120
"TARRÉS MORRAL, MANUEL",abocament - Mª Ferrer Teixidor - el Terri,408
"EGARA 2005, SL - ES VIDRERES -EGARA","E.S. VIDRERES TERRAFORTUNA, SL (SORTIDA TRACTAMENT)",372
CONSELL COMARCAL DE LA GARROTXA -DIPÒSIT CONTROLAT BEUDA-,"INSTAL.LACIONS GESTIÓ FORMACIÓ I ASSESSORAMENT, SA (SORTIDA AIGÜES PLUVIALS)",618
COMUNITAT DE PROPIETARIS PARCELA I,COMUNITAT DE PROPIETARIS PARCEL·LA 1-AA2003001551,170
"HECINEMAX, SA  -PENSIÓ CAN SEROLA-","AA2003000272 Can Serola (HECINEMAX, SA)",553
"BERGUEDÀ NÀUTIC, S.L","BERGUEDÀ NÀUTIC, S.L (sortida depuradora) - Embassament La Baells",276
SOCIETAT PROTECTORA D'ANIMALS I PLANTES,Abocament  SOCIETAT PROTECTORA D'ANIMALS I PLANTES- Riera de Rajadell (Cardener),206
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-,ESTACIÓ DE SERVEI PONTÓS I: RIU FLUVIÀ,573
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PK 171,5): ABOCAMENT A LLERA",121
"FORNIELES DURÀ, JORDI",JORGE FORNIELES DURA,512
"ATLAS GESTION MEDIOAMBIENTAL, SA","ATLAS GESTION MEDIOAMBIENTAL, SA",160
"FRISELVA, SA","FRISELVA, ABOCAMENT A REC REGAS",425
"RESTAURANT VISTA PIRINEU, SCP","RESTAURANT VISTA PIRINEU, SCP (llera)",251
"NOEL ALIMENTARIA, SAU  -CENTRES 1 I 4-","EMBUTIDOS Y JAMONES NOEL, SA_Abocament",544
CAN MUNNAR SC -EXPLOTACIÓ RAMADERA-,"SOLÉS - PAGÈS, SC (RIERA DE PINS)",397
"CÀMPING BESALÚ, SL",CAMPING BESALU (LLERA),555
"CAMPING MOLÍ DE VILAMALA, SC","RIERA DE COGOLLS, afluent del riu Brugent",449
"REPSOL DIRECTO, SA","REPSOL DIRECTO, SA  (SORTIDA SEPARADOR D'HIDROCARBURS)",6
"MOTOR AVENTURA XXI, SL","KARTING JAVI CLUB, SL: TORRENT DE L'ARAGALL",60
"RETEVISIÓN I, SAU  -ROCACORBA-",ROCACORBA,410
"MB. PAPELES ESPECIALES, SA","MB PAPELES ESPECIALES, SA (SORTIDA EDAR PROPIA)",156
"GOMEZ BEDMAR, CONCEPCION",Gomez Bedmar (aboc sanitaries),345
"RESERVAT 2000, SL",AA2003001113,351
FUNDACIÓ COLLSEROLA (ESCOLA AVENÇ),FUNDACIÓ PRIVADA COLLSEROLA -ESCOLA  AVENÇ- (SORTIDA DEPURADORA),285
"FAJULA - PEDRO, SL  (E.S. NÚM 10957)",ESTACIÓ DE SERVEI VERGES:  RIERA DE LA TALLADA,
"DISCBAGES, SL","DISCBAGES, SL (SORTIDA FOSSA + FILTRE BIOLÒGIC)",244
AJUNTAMENT DE SANT LLORENÇ SAVALL (URB. LES MARINES),ABOCAMENT URBANITZACIÓ LES MARINES,295
"PREBESEC, SA",AA2003002316 RIERA DE VILAFRANCA,84
JOAN BALLES SEGURA (RESTAURANT CAN MARÇAL),Abocament JOAN BALLES SEGURA RESTAURANT CAN MARÇAL - torrent de Cal Cassanyes,69
"LLAR D'INFANTS GRANOTA, SL",LLAR D'INFANTS LA GRANOTA (SORTIDA DEPURADORA) - Riera de Vallgorguina,333
"CAL PUJOLET, SCP","Abocament CAL PUJOLET, SCP - riera de Marganell",195
"PUIGFEL, SA",PUIGFEL SA _DIPÒSIT CONTROLAT ELENA (SORTIDA PLUVIALS SEMINETES),287
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -PEATGE PLA DE SANTA MARIA (SORTIDA DEPURADORA)",40
"FRAGNOR, SL",FRAGNOR (PLUVIALS POTENCIALMENT CONTAMINANTS),153
"CUSCÓ RAFECAS, JAUME",JAUME CUSCÓ RAFECAS (SORTIDA TRACTAMENT),78
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU - SORTIDA 2 AP-7 PK. 6,8 (SORTIDA TRACTAMENT)",519
"DS SMITH PACKAGING DICESA, SA","BLACAR, SA (SORTIDA SANITÀRIES)",147
ANA Mª MUÑOZ COTES (RESTAURANT-BAR PONT DEL GAT,"021997000472 - AB 1 (torrent del Soldat, afluent del riu Llobregat)",191
"CAN RIERA DE CIURET, SL (CAMPING I CASA DE COLÒNIES)","ABOC.CAN RIERA DE CIURET, SL: TORRENT DE L'INFERN",340
"DESGUACES TRECE, SL","DESGUACES TRECE, SL (SORTIDA PRETRACTAMENT2)",606
"SANS BRANDED APPAREL, SL","ABOC.SANS BRANDED APPAREL, SL: 021996000180",360
"GALPGEST PETROGAL ESTACIONES DE SERVICIO, SLU -E.S GIRONÈS SUD-",E.S. GIRONÈS SUD (SORTIDA SEPARADOR D'HIDROCARBURS),425
CAN PERICÓ (BEATRIZ ORIOLA-CORTADA SALVADORES),TORRENT DE LA SORRIBA - CAN PERICÓ,504
EDISTRIBUCION REDES DIGITALES SL -SE LLORET-,"ENDESA DISTRIBUCIÓN, S.L -SE LLORET- Abocament sanitàries",
AJUNTAMENT DE VILA-RODONA (POL.LES ARENELLES),AJUNTAMENT DE VILA-RODONA (POL.IND. LES ARENELLES): RIU GAIÀ.,57
